"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Oroku Saki, Shredder Rising","B","C","112294","4.86","22301","6.37","119016","80.1%","57.8%","20707","58.7%","28780","56.9%","49487","57.7%","69580","57.9%","-0.2pp"
"Pain 101","B","C","149731","7.18","16122","10.74","24592","23.5%","54.0%","4038","50.9%","5938","53.0%","9976","52.2%","14627","55.3%","-3.1pp"
"Paramecia Coloniex","B","U","54104","6.01","7846","8.42","22079","43.1%","54.5%","3967","54.7%","5357","53.1%","9324","53.8%","12787","55.0%","-1.2pp"
"Rat King, Verminister","B","R","4938","2.06","2417","2.21","18231","89.6%","57.1%","3247","59.1%","4900","60.3%","8147","59.9%","10156","54.8%","5.1pp"
"Savanti Romero, Time's Exile","B","R","4521","1.96","2371","2.06","18499","89.0%","56.8%","3096","57.7%","4994","61.1%","8090","59.8%","10531","54.5%","5.3pp"
"Shark Shredder, Killer Clone","B","R","3939","1.74","2147","1.83","17047","91.4%","56.6%","2845","56.6%","4564","59.4%","7409","58.3%","9695","55.2%","3.1pp"
"Shredder, Unrelenting","B","U","35617","3.99","7081","5.15","37682","79.9%","56.7%","6289","55.9%","9556","57.4%","15845","56.8%","21994","56.5%","0.3pp"
"Shredder's Armor","B","U","59863","7.05","6501","10.61","3964","9.4%","50.6%","654","42.4%","973","49.2%","1627","46.5%","2342","53.4%","-6.9pp"
"Shredder's Revenge","B","C","149545","7.13","17753","10.49","33658","28.8%","55.9%","5760","54.4%","8388","56.7%","14148","55.8%","19523","55.9%","-0.1pp"
"Shredder's Technique","B","U","25097","2.92","7834","3.50","49027","91.6%","56.7%","8249","54.8%","12691","59.1%","20940","57.4%","28083","56.2%","1.2pp"
"South Wind Avatar","B","R","5112","2.11","1872","2.31","13079","87.7%","54.8%","2220","52.7%","3623","57.7%","5843","55.8%","7337","53.8%","1.9pp"
"Splinter, Hamato Yoshi","B","U","30528","3.53","7824","4.20","45877","84.3%","58.0%","8241","60.5%","11011","57.8%","19252","59.0%","26663","57.3%","1.6pp"
"Splinter's Technique","B","R","12482","4.24","1803","6.13","3990","33.6%","52.1%","627","47.5%","1000","51.6%","1627","50.0%","2364","53.5%","-3.4pp"
